[15:12:30] application start
[15:12:32] getdata
[15:31:46] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:47] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:48] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:49] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:49] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:50] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:50] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:51] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:54] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:58] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
